smiles NumRings NumAromaticCarbocycles NumAromaticRings NumAliphaticRings NumAromaticHeterocycles NumHeteroatoms NumSaturatedHeterocycles NumSaturatedCarbocycles NumSaturatedRings NOCount
CS(=O)(=O)c1ccc(N2CC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1 6 2 2 4 0 6 2 1 3 5
N#Cc1cc2cc(CN3CCC(Nc4ncnc5sc(CC(F)(F)F)cc45)CC3)ccc2n1C[C@H](O)CO 5 1 4 1 3 12 1 0 1 8
N=C(N)NCCCCCOc1ccc2c(c1)CCN(CC(=O)O)C2=O 2 1 1 1 0 8 0 0 0 8
CC[C@@H](CN(C)S(=O)(=O)C1CC1)N1C(=O)[C@@](C)(CC(O)=NC[C@@H](O)CO)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1 4 2 2 2 0 12 1 1 2 9
CSc1nc2ccc3nc(NC(=O)c4cccs4)sc3c2s1 4 1 4 0 3 8 0 0 0 4
Cl.O=C(/C=C/c1ccccc1Cl)c1ccc(OCCCN2CCCC2)cc1 3 2 2 1 0 5 1 0 1 3
CCCC(=O)O[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1 5 2 2 3 0 6 2 1 3 6
COc1cc2ncnc(Nc3ccc(C(O)/C=C/c4ccc(OC(F)(F)F)cc4)cc3)c2cc1OCCCN1CCOCC1 5 3 4 1 1 12 1 0 1 9
CC(=O)c1ccc(Nc2cc(C)nc3nc(SCc4nc5ccccc5[nH]4)nn23)cc1 5 2 5 0 3 9 0 0 0 8
CN1Cc2cc(S(=O)(=O)N3CCCC3)ccc2NC1=O 3 1 1 2 0 7 1 0 1 6
C[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)CSSC[C@@H](C(=O)O)NC(=O)C2(Cc3ccccc3C2)NC1=O 4 2 2 2 0 14 1 0 1 12
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12 4 1 1 3 0 11 0 0 0 11
C[C@@H](O)CNC(=O)C[C@H]1O[C@@H](CNCCc2nc3ccccc3[nH]2)[C@H]2OC(C)(C)O[C@@H]12 4 1 2 2 1 9 2 0 2 9
CCCC(C)N1CCC(N(Cc2ccccc2)C(=O)Nc2cccc(C(C)C)c2)CC1 3 2 2 1 0 4 1 0 1 4
COC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)Cc1nc2cc(Cl)ccc2[nH]1 4 3 4 0 1 15 0 0 0 14
COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N[C@H](CCS(C)(=O)=O)C(=O)O)c3ccccc23)cc1 3 3 3 0 0 13 0 0 0 11
CC(CC1C(=O)N(C)C(=O)N(C)C1=O)C1NCCc2c1n(C(=O)OC(C)(C)C)c1ccccc21 4 1 2 2 1 9 1 0 1 9
Cc1ccc(S(=O)(=O)N(C)CC(=O)N(Cc2ccc(C3CCCCC3)cc2)c2ccc(C(=O)O)c(O)c2)cc1 4 3 3 1 0 9 0 1 1 8
CCC(=O)N[C@@H](Cc1nc2ccc(Cl)cc2s1)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)NC(c1ccccc1)c1ccccc1)C1CCCC1 5 3 4 1 1 12 0 1 1 10
N#Cc1ccc(C[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)O)cc1 3 2 2 1 0 11 1 0 1 8
O=C(NNc1cc(-c2ccccc2)nc2ncnn12)c1cnccn1 4 1 4 0 3 9 0 0 0 9
COc1cc(CC(=O)N[C@@H](CC(C)C)c2cc(CCC(=O)O)on2)ccc1NC(=O)Nc1ccccc1C 3 2 3 0 1 10 0 0 0 10
